,Unnamed: 0,text,embeddings,distances
38,38,"March 2 – Russian invasion of Ukraine: Russia captures its first large city, the Black Sea port of Kherson, as shelling intensifies across many parts of Ukraine, including civilian areas.","[ 0.00071037 -0.01834074  0.01266415 ...  0.01603701  0.01426785
  0.01867167]",0.10915425093456554
61,61,"April 3 – Russian invasion of Ukraine: As Russia's forces retreat from areas near Kyiv, it is accused by Ukraine of war crimes, amid mounting evidence of indiscriminate civilian killings, including the Bucha massacre.","[-0.01213661 -0.0124027   0.00538684 ...  0.01850995  0.01417452
  0.0066005 ]",0.1113814454497779
174,174,"November 11 – Russian invasion of Ukraine: Ukrainian forces recapture Kherson, the only regional capital to be taken by Russia since the start of the war.","[-0.0123621  -0.01402344  0.01666389 ...  0.0232208   0.00702435
  0.01276638]",0.11555841390398869
145,145,"September 21 – Russian invasion of Ukraine: Following a major counteroffensive by Ukraine in the east of the country, Putin announces a partial mobilisation of Russia and threatens nuclear retaliation, saying ""this is not a bluff"".","[-0.02561821 -0.02204061  0.01328825 ...  0.0038619   0.0199707
 -0.00908456]",0.11692608060164622
87,87,May 16 – Russian invasion of Ukraine: The Siege of Mariupol ends in a Russian victory as Ukrainian troops are evacuated from Mariupol.,"[-0.01835823 -0.00647204  0.01109036 ...  0.0063442   0.01682411
 -0.00907684]",0.11925716455480051
157,157,"October 8 – Russian invasion of Ukraine: An explosion occurs on the Crimean Bridge connecting Crimea and Russia, killing three and causing a partial collapse of the only road bridge between the Crimean Peninsula and the Russian mainland. Two days later, retaliatory missile strikes are conducted by Russia across Ukraine, the most widespread since the start of the invasion, notably including attacks on Kyiv.","[-0.01395794 -0.00827283  0.01059915 ...  0.00300756  0.01828386
  0.00603799]",0.12110205923738848
26,26,"February 21 – February 24 – Russian President Vladimir Putin signs a decree declaring the Luhansk People's Republic and Donetsk People's Republic as independent from Ukraine, and, despite international condemnation and sanctions, begins a full-scale invasion of Ukraine; at dawn on 24 February missiles strike Kyiv. Ukraine severs diplomatic relations with Russia, followed by the Federated States of Micronesia on 25 February.","[-0.01192772 -0.00697559  0.00487892 ...  0.00707543  0.02739649
  0.0109759 ]",0.1213398615247856
33,33,"February 28 – Russian invasion of Ukraine: Russian and Ukrainian officials meet on the Belarus-Ukraine border for the first round of peace talks, with no resolution.","[-0.01181807 -0.00887778  0.00913071 ...  0.00769534  0.01516305
 -0.00267788]",0.1260494153249252
37,37,"March 1 – Russian invasion of Ukraine: In an emergency session, United Nations member states pass a resolution deploring Russia's invasion of Ukraine and calling for the immediate withdrawal of its forces.","[-0.00762819 -0.01614472  0.0035051  ... -0.00247031  0.02747435
 -0.00363385]",0.1262184672556096
49,49,March 9 – Russian invasion of Ukraine: Russia is condemned by world leaders following an air strike in Mariupol that destroys a hospital including a maternity and children's ward.,"[ 0.00109493 -0.01044342  0.00269089 ...  0.01187131  0.0178902
 -0.00322075]",0.12679255944865375
53,53,March 16 – Russian invasion of Ukraine: A Russian airstrike on the Mariupol Theatre in Mariupol kills an estimated 600 civilians sheltering inside.,"[-0.00895627 -0.00560088  0.00517623 ...  0.01021735  0.01641982
 -0.0004902 ]",0.12726778416713103
166,166,"October 29 – Russian invasion of Ukraine: In response to an alleged Ukrainian drone attack against the Black Sea Fleet, Russia suspends its participation in the Black Sea Grain Initiative.","[-0.01514557 -0.03898653  0.0151845  ...  0.01386072  0.01070053
  0.00903283]",0.12849644975342145
67,67,"April 8 – Russian invasion of Ukraine: Russia is condemned by world leaders following a missile attack on Kramatorsk train station, which kills 59 civilians trying to evacuate, including seven children.","[-0.00090714 -0.0084762  -0.0029121  ...  0.01550992  0.0130845
  0.01189732]",0.12946089909107739
3,3," – The ongoing Russian invasion of Ukraine escalated after Russian president Vladimir Putin announced a ""special military operation"", stating that it was to support the Russian-backed breakaway republics of Donetsk and Luhansk, whose paramilitary forces had been fighting Ukraine in the Donbas conflict since 2014.","[-0.01472113 -0.00763269  0.01405742 ...  0.00193472  0.02070782
  0.01077205]",0.13050339291125068
72,72,"April 18 – Russian invasion of Ukraine: The battle of Donbas begins, leading to the deaths of several thousand military personnel and civilians.","[-6.26070239e-03 -4.08569723e-03  4.85952757e-03 ...  1.14832614e-02
  4.54107905e-03  5.77685933e-05]",0.1307663084078231
117,117,"July 22 – Russian invasion of Ukraine: Russia and Ukraine sign the Black Sea Grain Initiative, an agreement brokered by Turkey and the United Nations to facilitate the shipment of grain exports and reduce soaring global food prices.","[-0.00496147 -0.03016364  0.01083561 ...  0.00561199  0.01701074
  0.00512652]",0.13429171809434526
39,39,March 2 – Russian invasion of Ukraine: The United Nations reports that over a million refugees have now fled from Ukraine to other countries.,"[-0.00989074 -0.01622641  0.00717365 ...  0.00346303  0.00228382
 -0.00300753]",0.13496924933259746
153,153,"September 30 – Annexation of Southern and Eastern Ukraine: Russian President Vladimir Putin signs treaties absorbing the occupied regions of Donetsk, Luhansk, Kherson and Zaporizhzhia into the Russian Federation. This annexation is seen as a breach of international law by the global community.","[-0.0004458  -0.00149519  0.02333529 ...  0.01013823  0.00955718
  0.0051192 ]",0.13544827164542672
29,29,"February 27 – Russian invasion of Ukraine: Putin orders Russia's nuclear deterrent forces to be on ""special alert"", their highest level, in response to what he calls ""aggressive statements"" by NATO. The move is condemned by the US.","[-0.01828605 -0.03140627  0.00753031 ... -0.00169303  0.023529
  0.0028319 ]",0.13752233710298412
30,30,February 27 – Russian invasion of Ukraine: European nations ban Russian flights in their airspace.,"[-0.00621656 -0.0217627   0.02187625 ...  0.01457155  0.02248182
 -0.00594216]",0.13849789453490535
56,56,"March 24 – Russian invasion of Ukraine: NATO announces that four new battlegroups totaling 40,000 troops will be deployed in Bulgaria, Hungary, Romania and Slovakia, along with enhanced readiness for potential chemical, biological, radiological and nuclear threats.","[ 3.01823347e-05 -1.73785649e-02  7.55224610e-03 ... -4.00223816e-03
  2.40328107e-02 -3.25282803e-03]",0.14607888893283782
71,71,"April 14 – Russian invasion of Ukraine: The Russian flagship Moskva becomes the largest warship to be sunk in action since World War II. Ukraine claims to have struck it with Neptune anti-ship missiles, while Russia claims it sank during stormy weather after an onboard fire.","[-0.01054576 -0.01315071  0.0019156  ...  0.00662838  0.00374172
  0.00920019]",0.1466114734368058
28,28,"February 26 – Russian invasion of Ukraine: The EU, US, and their allies commit to removing Russian banks from the SWIFT payment system, as well as imposing measures on the Russian Central Bank and further restrictions on Russian elites. These and other sanctions fuel a financial crisis in Russia.","[-0.0133289  -0.02053791  0.01324462 ...  0.00231278  0.02414242
 -0.00699508]",0.14702339834089473
41,41,Russian invasion of Ukraine: Russia is condemned by world leaders following an attack by its troops on the Zaporizhzhia nuclear plant – the largest in Europe – which led to a fire at the site.,"[ 0.0003715  -0.0345321   0.01281524 ...  0.01142117  0.01048752
 -0.01030847]",0.14718720807699548
152,152,"September 27 – Russian occupation authorities in Ukraine claim that their annexation referendums show an overwhelming support for the annexation by Russia of the Donetsk People's Republic, the Luhansk People's Republic, and parts of Kherson Oblast and Zaporizhzhia Oblast. However, the voting is widely dismissed as a sham referendum.","[ 0.00323672  0.0037394   0.01170594 ...  0.02189887  0.01172585
 -0.00135624]",0.14942318379508412
135,135,September 2 – Russian invasion of Ukraine: The G7 economies agree to impose a price cap on Russian petroleum exports.,"[-0.0107727  -0.01847686  0.00493066 ...  0.00778939  0.01148739
  0.00037005]",0.15221866866419032
40,40,March 2 – The International Criminal Court begins an investigation into possible war crimes committed by Russia in Ukraine.,"[ 0.00371066 -0.00602023  0.0102427  ...  0.01958973  0.01200846
 -0.00099884]",0.15498812286401853
34,34,February 28 – Russian invasion of Ukraine: Football governing bodies FIFA and UEFA suspend Russian clubs and national teams from all competitions.,"[ 0.00663338 -0.01808874  0.0137843  ...  0.00278021  0.01860628
 -0.00319046]",0.15638454302354832
103,103,June 26 – G7 leaders gather for a summit in Germany to discuss the situation in Ukraine. A ban on imports of Russian gold is announced.,"[ 0.00034239 -0.01178026  0.00369689 ...  0.00546553  0.01573255
 -0.02294756]",0.163793132980399
36,36,March 1 – Russian invasion of Ukraine: World Athletics bans both Russia and Belarus from competing in all of its events.,"[-0.00207576 -0.00791224  0.00381197 ...  0.00314408  0.01029553
 -0.00536239]",0.16548557593648228
177,177,"November 15 – Two missiles impact the village of Przewodów, Poland, close to the border with Ukraine.","[-9.31458920e-03 -8.63832422e-03 -4.04722086e-05 ...  1.96754746e-02
  3.85981263e-03 -5.72592020e-04]",0.1772134148075889
8,8,"January 6 – The CSTO deploys a ""peacekeeping"" mission in Kazakhstan, including Russian paratroopers, following a request by Kazakh president Tokayev.","[ 0.01342934  0.00311033  0.00679267 ...  0.02605265  0.02571464
 -0.01513238]",0.17768780859353805
31,31,"February 27 – In a constitutional referendum, Belarus votes to revoke its non-nuclear status and to allow the country to host Russian forces permanently.","[-0.00977826 -0.00280923  0.00522798 ...  0.0190789   0.01256006
 -0.01781386]",0.17975335351284571
78,78,April 27 – The European Union accuses Russia of blackmail after gas supplies to Poland and Bulgaria are halted by energy giant Gazprom.,"[ 0.00192514 -0.02539594  0.01324116 ...  0.01450649  0.01727997
 -0.00057994]",0.1815340093096126
2,2," – 2022 was also dominated by wars and armed conflicts. While escalations into the internal conflict in Myanmar and the Tigray War dominated the heightening of tensions within their regions and each caused over 10,000 deaths, 2022 was most notable for the Russian invasion of Ukraine, the largest armed conflict in Europe since World War II. The invasion caused the displacement of 15.7 million Ukrainians (8 million internally displaced persons and 7.7 million refugees), and led to international condemnations and sanctions and nuclear threats, the withdrawal of hundreds of companies from Russia, and the exclusion of Russia from major sporting events.","[-0.00960624 -0.01530103  0.01075978 ... -0.00184302  0.00816762
 -0.00841955]",0.1852374402882785
185,185,"December 2 – The G7 and Australia join the EU in imposing a cap of $60 a barrel on Russian crude oil, designed to ""prevent Russia from profiting from its war of aggression against Ukraine.""","[-0.00972514 -0.01762151 -0.00789637 ...  0.01806564 -0.00264192
 -0.00111686]",0.18858057703861408
47,47,"March 8 – The US and UK announce a ban on Russian oil, while the EU announces a two-thirds reduction in its demand for Russian gas.","[-0.00496971 -0.02373746  0.01297028 ...  0.02679379  0.01547265
 -0.00158308]",0.193980269980204
35,35,"February 28 – 2022 Russian financial crisis: In an unprecedented move, Switzerland, Monaco, Singapore and South Korea impose unilateral sanctions over Russia including the introduction of export controls and asset freezes.","[-0.01182431 -0.02810988  0.00392828 ...  0.01929264  0.03061029
  0.00459944]",0.19411257822339012
101,101,June 23 – The European Council granted Moldova and Ukraine the status of a candidate for accession to the European Union.,"[-0.00013546 -0.00202176  0.02511603 ...  0.01816258  0.00505044
 -0.01303298]",0.1951025458552026
21,21,"February 4 – China and Russia issue a joint statement opposing further NATO expansion, expressing ""serious concerns"" about the AUKUS security pact, and pledging to cooperate with each other on a range of issues.","[-0.0108957  -0.03534158 -0.00198764 ...  0.01061798  0.00595485
 -0.00436926]",0.20020380984369113
105,105,"June 28 – June 30 – A NATO summit is held in Madrid, Spain along with the presence of guest countries from the European Union and the Indo-Pacific primarily searching for a consensual defensive reinforcement after the Russian invasion of Ukraine and the sustained threatening over the territorial integrity of other countries.","[-0.01422865 -0.02104878  0.02421813 ... -0.00192568  0.00180867
 -0.00976214]",0.2045440166161776
140,140,"September 12 – September 2022 Armenia–Azerbaijan clashes: Azerbaijan attacks Armenian positions near the cities of Vardenis, Goris, Sotk and Jermuk, and occupies certain areas of its territory along the Armenia–Azerbaijan border. Over the next few days, more than 100 Armenian soldiers are killed in the clashes, while Azerbaijan acknowledges 71 fatalities among its forces.","[-0.01295014 -0.00870191 -0.00564995 ... -0.00644193  0.02020063
 -0.01548185]",0.21082340147561607
57,57,"March 27 – The M23 offensive begins in North Kivu, Democratic Republic of the Congo.","[-0.01939212  0.00401603  0.00977286 ...  0.0157057   0.00700804
  0.01172487]",0.21084249314598946
65,65,"April 7 – The UN votes by 93–24 to suspend Russia from the Human Rights Council, with 58 countries abstaining.",[0.01498732 0.00627413 0.00347582 ... 0.00631825 0.02639483 0.00231301],0.21170771383796305
7,7,"January 5 – A nationwide state of emergency is declared in Kazakhstan in response to the 2022 Kazakh unrest. The cabinet of prime minister Askar Mamin resigns, while president Kassym-Jomart Tokayev removes former president Nursultan Nazarbayev, widely regarded as being the real power in the country, from his position as Chairman of the Security Council of Kazakhstan.","[-0.00281834 -0.0062215  -0.0013307  ...  0.01357299  0.01973171
 -0.0237362 ]",0.21798277484102024
44,44,"March 4 – Insurgency in Khyber Pakhtunkhwa: An Afghan man on behalf of the Islamic State – Khorasan Province commits a suicide attack at a Shia mosque in Peshawar, Khyber Pakhtunkhwa, Pakistan, killing 63 people.","[-0.01610562 -0.00038503  0.01283679 ...  0.01361692  0.00967111
 -0.01308179]",0.21810846513367943
150,150,"September 26 – The Nord Stream pipeline sabotage occurs by an unknown perpetrator off the coast of Bornholm, Denmark with explosions on two pipelines leaving them inoperable.","[-0.01716987 -0.03460823  0.02486208 ...  0.00921588  0.00413137
  0.00971259]",0.21893935612609605
83,83,"May 10–May 14 – The Eurovision Song Contest 2022 is held in Turin, Italy. The contest is won by Ukrainian folk-rap group Kalush Orchestra with their song ""Stefania"".","[-0.00879483 -0.03802546  0.01528198 ...  0.00171634 -0.00639741
 -0.03392292]",0.22131546951711745
141,141,September 14–September 20 – 2022 Kyrgyzstan–Tajikistan clashes: Dozens are killed as sporadic clashes occur between Kyrgyz and Tajik troops along their countries' respective border.,"[-0.02255697 -0.01500319  0.01761244 ... -0.01320933  0.02579245
 -0.00646768]",0.22143654166165372
68,68,"April 8 – Global food prices increase to their highest level since the UN's Food Price Index began in 1990, with commodities such as wheat rising by nearly 20% as a result of the Ukraine crisis.","[-0.00355463 -0.01846981 -0.00169631 ...  0.00193933  0.01129575
  0.01259836]",0.221805696512561
133,133,"August 30 – Mikhail Gorbachev, the final leader of the Soviet Union, dies at the age of 91.","[ 0.00286033 -0.01191806 -0.0262388  ...  0.00673132  0.01999691
  0.00412524]",0.22279443377878083
134,134,September 1 – The UN releases a report stating that the Chinese government's Xinjiang internment camps and treatment of Uyghurs may constitute crimes against humanity.,"[ 0.00792521 -0.02103525  0.01206793 ...  0.01756154  0.01900248
 -0.00545823]",0.22868037003120856
17,17,January 23 – A coup d'état in Burkina Faso removes president Roch Kaboré from power. The Burkinabé military cites the government's failure to contain activities of Islamist militants within the country as a reason for the coup.,"[-0.02871892 -0.01281396  0.00640046 ... -0.00052821  0.00941647
  0.00631894]",0.23041193302820318
6,6,"January 4 – The five permanent members of the UN Security Council—China, France, Russia, the United Kingdom and the United States—issue a rare joint statement affirming that ""a nuclear war cannot be won and must never be fought.""","[-0.0031675  -0.01268884 -0.0074437  ...  0.01378184  0.01821666
 -0.00878169]",0.23044793898777793
88,88,May 18 – Finland and Sweden applied to join NATO.,"[-0.0079677  -0.03266056  0.01458516 ...  0.00496787  0.02012624
 -0.01006949]",0.23129881656288453
15,15,"January 17 – In Abu Dhabi, United Arab Emirates, a terrorist attack against 3 oil tanker trucks and an under construction airport extension infrastructure is conducted by the Houthi movement using drones and missiles, killing 3 people and injuring 6 others.","[-0.02720562 -0.02206004  0.00583826 ... -0.01147861  0.01423611
  0.01369517]",0.23332109111578614
124,124,"August 5 – August 7 – Israel launches airstrikes in the Gaza Strip, killing Islamic Jihad military leader Tayseer Jabari. Both parties agree to a ceasefire after three days of skirmish.","[-0.03574819 -0.00491341 -0.00205107 ... -0.00620556  0.02627466
 -0.01201202]",0.23363891694947148
